Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,45991.4990606573,2.6,36638.7182345321,1.1,0.116568851265321,1.48335955705414,0.444376156229531,0.556594192368593,0.443405807631407,46.148915765412
ch2,3944.62383531773,2.6,2438.33726184627,1.1,0.0914956159357285,0.916130405022447,0.457808061844043,0.617992774085738,0.382007225914262,35.1935246518741
Fitting Multi ROIs
ROI2-ch1,9455.00030623401,2.6,7909.91761642483,1.1,0.116568851265321,1.48335955705414,0.441575536054727,0.544488626341074,0.455511373658926,8.17829611390293
ROI3-ch1,4585.66894149611,2.6,2654.72948814413,1.1,0.116568851265321,1.48335955705414,0.460977957760095,0.633344833997479,0.366655166002521,4.06141723217566
ROI4-ch1,470.332057918469,2.6,272.628577748189,1.1,0.116568851265321,1.48335955705414,0.460917978733352,0.633051113800182,0.366948886199818,1.72475304694723
ROI6-ch1,7712.25639598379,2.6,7039.85265791439,1.1,0.116568851265321,1.48335955705414,0.436420489624215,0.522790088373558,0.477209911626442,7.74201745054841
ROI7-ch1,4349.94645767307,2.6,4262.50708155787,1.1,0.116568851265321,1.48335955705414,0.432078200382744,0.50507633369033,0.49492366630967,6.01693846480884
ROI8-ch1,7456.70403752076,2.6,6681.32128770103,1.1,0.116568851265321,1.48335955705414,0.43753578943488,0.527421889973435,0.472578110026565,6.69510311859142
ROI9-ch1,2378.13257972494,2.6,1835.17865406139,1.1,0.116568851265321,1.48335955705414,0.446161828899478,0.564433161418225,0.435566838581775,3.74057320182919
ROI10-ch1,1031.27125938437,2.6,828.289992563195,1.1,0.116568851265321,1.48335955705414,0.443913302747633,0.554577730797678,0.445422269202322,3.33754215333481
ROI11-ch1,1531.50266743398,2.6,1016.32668488074,1.1,0.116568851265321,1.48335955705414,0.454235960900786,0.601100959152779,0.398899040847221,5.02069360951579
ROI12-ch1,3500.25776212247,2.6,2788.81397094829,1.1,0.116568851265321,1.48335955705414,0.444368757113309,0.556561907811696,0.443438092188304,5.9596448065281
ROI13-ch1,2086.53106945463,2.6,1490.7777797682,1.1,0.116568851265321,1.48335955705414,0.450365454518087,0.583268361049657,0.416731638950343,3.83608657094671
ROI14-ch1,122.914423919521,2.6,-35.5710106903109,1.1,0.116568851265321,1.48335955705414,0.56185579975676,1.40725464434238,-0.407254644342376,2.9969095196696
ROI15-ch1,1140.96660298776,2.6,123.449675072027,1.1,0.116568851265321,1.48335955705414,0.506868358891439,0.90236627191999,0.0976337280800097,8.98859098899988
ROI2-ch2,663.398024042368,2.6,609.399952720009,1.1,0.0914956159357285,0.916130405022447,0.436038702680144,0.521212349606225,0.478787650393775,4.9592599419006
ROI3-ch2,303.65278047852,2.6,197.30306191947,1.1,0.0914956159357285,0.916130405022447,0.455312437987989,0.606146799336617,0.393853200663383,2.45765523577565
ROI4-ch2,46.7774842516514,2.6,16.7739135832582,1.1,0.0914956159357285,0.916130405022447,0.480482028593095,0.736057519508342,0.263942480491658,1.85871113996825
ROI6-ch2,551.100024262179,2.6,545.323219417856,1.1,0.0914956159357285,0.916130405022447,0.431469827842762,0.502634386345611,0.497365613654389,5.99404690606474
ROI7-ch2,310.61874929782,2.6,337.100929225465,1.1,0.0914956159357285,0.916130405022447,0.425599592398238,0.479557375817251,0.520442624182749,3.3454994391862
ROI8-ch2,536.602271391245,2.6,466.001977910349,1.1,0.0914956159357285,0.916130405022447,0.439392375720992,0.535208455145724,0.464791544854276,5.50735270798612
ROI9-ch2,202.704793637608,2.6,149.375954350295,1.1,0.0914956159357285,0.916130405022447,0.448698417302851,0.575733819006124,0.424266180993876,3.14111131854692
ROI10-ch2,123.53685690224,2.6,25.7881229730161,1.1,0.0914956159357285,0.916130405022447,0.495655071201525,0.827302016082244,0.172697983917756,2.86026635728735
ROI11-ch2,187.621449637192,2.6,39.5517772413942,1.1,0.0914956159357285,0.916130405022447,0.495434729403529,0.825895957085943,0.174104042914057,4.18505061290274
ROI12-ch2,343.192537275804,2.6,141.839077125882,1.1,0.0914956159357285,0.916130405022447,0.475350717787769,0.707567356612727,0.292432643387273,4.12434167983927
ROI13-ch2,212.534322464752,2.6,78.6703051692721,1.1,0.0914956159357285,0.916130405022447,0.479380188904461,0.729845278186505,0.270154721813495,2.31668956759492
ROI14-ch2,87.1765657842385,2.6,3.93261562736032,1.1,0.0914956159357285,0.916130405022447,0.51438161158561,0.956836231360765,0.0431637686392348,3.66616080505446
ROI15-ch2,279.573511833963,2.6,-57.3429480454691,1.1,0.0914956159357285,0.916130405022447,0.54850674443457,1.25803358038566,-0.25803358038566,5.44946917315659

Time-1,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,839,806,1028,19262,63630,71715,64506,56169,48800,42607,37716,33593,29158,26494,24206,22225,20331,18846,17375,15819,15169,14031,12760,11884,10807,9872,9121,8539,7632,6963,6388,6182,5612,5169,4938,4542,4111,3803,3520,3149,2871,2642,2577,2412,2351,2060,
